timestamp	heart_rate
2024-10-12 11:35:04	96
2024-10-12 11:35:05	96
2024-10-12 11:35:06	96
2024-10-12 11:35:07	96
2024-10-12 11:35:08	96
2024-10-12 11:35:09	99
2024-10-12 11:35:10	100
2024-10-12 11:35:11	100
2024-10-12 11:35:12	101
2024-10-12 11:35:13	102
2024-10-12 11:35:14	104
2024-10-12 11:35:15	105
2024-10-12 11:35:16	105
2024-10-12 11:35:17	107
2024-10-12 11:35:18	108
2024-10-12 11:35:19	108
2024-10-12 11:35:20	110
2024-10-12 11:35:21	110
2024-10-12 11:35:22	111
2024-10-12 11:35:23	111
2024-10-12 11:35:24	112
2024-10-12 11:35:25	115
2024-10-12 11:35:26	116
2024-10-12 11:35:27	116
2024-10-12 11:35:28	116
2024-10-12 11:35:29	117
2024-10-12 11:35:30	117
2024-10-12 11:35:31	117
2024-10-12 11:35:32	117
2024-10-12 11:35:33	118
2024-10-12 11:35:34	118
2024-10-12 11:35:35	119
2024-10-12 11:35:36	119
2024-10-12 11:35:37	121
2024-10-12 11:35:38	121
2024-10-12 11:35:39	121
2024-10-12 11:35:40	120
2024-10-12 11:35:41	120
2024-10-12 11:35:42	120
2024-10-12 11:35:43	120
2024-10-12 11:35:44	120
2024-10-12 11:35:45	120
2024-10-12 11:35:46	120
2024-10-12 11:35:47	120
2024-10-12 11:35:48	120
2024-10-12 11:35:49	120
2024-10-12 11:35:50	120
2024-10-12 11:35:51	120
2024-10-12 11:35:52	120
2024-10-12 11:35:53	120
2024-10-12 11:35:54	120
2024-10-12 11:35:55	120
2024-10-12 11:35:56	120
2024-10-12 11:35:57	120
2024-10-12 11:35:58	120
2024-10-12 11:35:59	120
2024-10-12 11:36:00	120
2024-10-12 11:36:01	120
2024-10-12 11:36:02	120
2024-10-12 11:36:03	120
2024-10-12 11:36:04	120
2024-10-12 11:36:05	120
2024-10-12 11:36:06	121
2024-10-12 11:36:07	122
2024-10-12 11:36:08	122
2024-10-12 11:36:09	122
2024-10-12 11:36:10	122
2024-10-12 11:36:11	122
2024-10-12 11:36:12	122
2024-10-12 11:36:13	122
2024-10-12 11:36:14	122
2024-10-12 11:36:15	122
2024-10-12 11:36:16	122
2024-10-12 11:36:17	122
2024-10-12 11:36:18	124
2024-10-12 11:36:19	126
2024-10-12 11:36:20	136
2024-10-12 11:36:21	137
2024-10-12 11:36:22	137
2024-10-12 11:36:23	139
2024-10-12 11:36:24	141
2024-10-12 11:36:25	141
2024-10-12 11:36:26	143
2024-10-12 11:36:27	144
2024-10-12 11:36:28	144
2024-10-12 11:36:29	144
2024-10-12 11:36:30	144
2024-10-12 11:36:31	144
2024-10-12 11:36:32	144
2024-10-12 11:36:33	144
2024-10-12 11:36:34	144
2024-10-12 11:36:35	144
2024-10-12 11:36:36	146
2024-10-12 11:36:37	145
2024-10-12 11:36:38	145
2024-10-12 11:36:39	145
2024-10-12 11:36:40	146
2024-10-12 11:36:41	147
2024-10-12 11:36:42	148
2024-10-12 11:36:43	148
2024-10-12 11:36:44	149
2024-10-12 11:36:45	149
2024-10-12 11:36:46	149
2024-10-12 11:36:47	149
2024-10-12 11:36:48	151
2024-10-12 11:36:49	152
2024-10-12 11:36:50	153
2024-10-12 11:36:51	154
2024-10-12 11:36:52	154
2024-10-12 11:36:53	154
2024-10-12 11:36:54	154
2024-10-12 11:36:55	154
2024-10-12 11:36:56	155
2024-10-12 11:36:57	156
2024-10-12 11:36:58	157
2024-10-12 11:36:59	158
2024-10-12 11:37:00	157
2024-10-12 11:37:01	157
2024-10-12 11:37:02	157
2024-10-12 11:37:03	157
2024-10-12 11:37:04	157
2024-10-12 11:37:05	157
2024-10-12 11:37:06	156
2024-10-12 11:37:07	155
2024-10-12 11:37:08	155
2024-10-12 11:37:09	155
2024-10-12 11:37:10	155
2024-10-12 11:37:11	155
2024-10-12 11:37:12	154
2024-10-12 11:37:13	154
2024-10-12 11:37:14	154
2024-10-12 11:37:15	154
2024-10-12 11:37:16	154
2024-10-12 11:37:17	154
2024-10-12 11:37:18	154
2024-10-12 11:37:19	154
2024-10-12 11:37:20	155
2024-10-12 11:37:21	156
2024-10-12 11:37:22	157
2024-10-12 11:37:23	158
2024-10-12 11:37:24	158
2024-10-12 11:37:25	158
2024-10-12 11:37:26	158
2024-10-12 11:37:27	158
2024-10-12 11:37:28	158
2024-10-12 11:37:29	157
2024-10-12 11:37:30	156
2024-10-12 11:37:31	155
2024-10-12 11:37:32	156
2024-10-12 11:37:33	156
2024-10-12 11:37:34	157
2024-10-12 11:37:35	157
2024-10-12 11:37:36	157
2024-10-12 11:37:37	157
2024-10-12 11:37:38	157
2024-10-12 11:37:39	156
2024-10-12 11:37:40	157
2024-10-12 11:37:41	157
2024-10-12 11:37:42	157
2024-10-12 11:37:43	157
2024-10-12 11:37:44	157
2024-10-12 11:37:45	157
2024-10-12 11:37:46	157
2024-10-12 11:37:47	157
2024-10-12 11:37:48	157
2024-10-12 11:37:49	157
2024-10-12 11:37:50	157
2024-10-12 11:37:51	157
2024-10-12 11:37:52	157
2024-10-12 11:37:53	157
2024-10-12 11:37:54	157
2024-10-12 11:37:55	157
2024-10-12 11:37:56	157
2024-10-12 11:37:57	157
2024-10-12 11:37:58	157
2024-10-12 11:37:59	157
2024-10-12 11:38:00	157
2024-10-12 11:38:01	157
2024-10-12 11:38:02	157
2024-10-12 11:38:03	157
2024-10-12 11:38:04	157
2024-10-12 11:38:05	158
2024-10-12 11:38:06	159
2024-10-12 11:38:07	159
2024-10-12 11:38:08	159
2024-10-12 11:38:09	159
2024-10-12 11:38:10	159
2024-10-12 11:38:11	159
2024-10-12 11:38:12	159
2024-10-12 11:38:13	159
2024-10-12 11:38:14	159
2024-10-12 11:38:15	160
2024-10-12 11:38:16	160
2024-10-12 11:38:17	160
2024-10-12 11:38:18	160
2024-10-12 11:38:19	160
2024-10-12 11:38:20	160
2024-10-12 11:38:21	159
2024-10-12 11:38:22	160
2024-10-12 11:38:23	160
2024-10-12 11:38:24	160
2024-10-12 11:38:25	160
2024-10-12 11:38:26	160
2024-10-12 11:38:27	161
2024-10-12 11:38:28	160
2024-10-12 11:38:29	160
2024-10-12 11:38:30	160
2024-10-12 11:38:31	160
2024-10-12 11:38:32	160
2024-10-12 11:38:33	160
2024-10-12 11:38:34	160
2024-10-12 11:38:35	160
2024-10-12 11:38:36	160
2024-10-12 11:38:37	161
2024-10-12 11:38:38	161
2024-10-12 11:38:39	162
2024-10-12 11:38:40	163
2024-10-12 11:38:41	163
2024-10-12 11:38:42	163
2024-10-12 11:38:43	162
2024-10-12 11:38:44	161
2024-10-12 11:38:45	161
2024-10-12 11:38:46	161
2024-10-12 11:38:47	161
2024-10-12 11:38:48	163
2024-10-12 11:38:49	164
2024-10-12 11:38:50	165
2024-10-12 11:38:51	164
2024-10-12 11:38:52	164
2024-10-12 11:38:53	164
2024-10-12 11:38:54	164
2024-10-12 11:38:55	164
2024-10-12 11:38:56	164
2024-10-12 11:38:57	164
2024-10-12 11:38:58	164
2024-10-12 11:38:59	164
2024-10-12 11:39:00	164
2024-10-12 11:39:01	163
2024-10-12 11:39:02	163
2024-10-12 11:39:03	163
2024-10-12 11:39:04	162
2024-10-12 11:39:05	162
2024-10-12 11:39:06	162
2024-10-12 11:39:07	162
2024-10-12 11:39:08	162
2024-10-12 11:39:09	162
2024-10-12 11:39:10	162
2024-10-12 11:39:11	162
2024-10-12 11:39:12	162
2024-10-12 11:39:13	162
2024-10-12 11:39:14	162
2024-10-12 11:39:15	162
2024-10-12 11:39:16	161
2024-10-12 11:39:17	162
2024-10-12 11:39:18	163
2024-10-12 11:39:19	164
2024-10-12 11:39:20	164
2024-10-12 11:39:21	164
2024-10-12 11:39:22	164
2024-10-12 11:39:23	164
2024-10-12 11:39:24	164
2024-10-12 11:39:25	164
2024-10-12 11:39:26	163
2024-10-12 11:39:27	163
2024-10-12 11:39:28	162
2024-10-12 11:39:29	162
2024-10-12 11:39:30	163
2024-10-12 11:39:31	163
2024-10-12 11:39:32	162
2024-10-12 11:39:33	163
2024-10-12 11:39:34	163
2024-10-12 11:39:35	163
2024-10-12 11:39:36	164
2024-10-12 11:39:37	163
2024-10-12 11:39:38	163
2024-10-12 11:39:39	163
2024-10-12 11:39:40	163
2024-10-12 11:39:41	162
2024-10-12 11:39:42	162
2024-10-12 11:39:43	162
2024-10-12 11:39:44	162
2024-10-12 11:39:45	160
2024-10-12 11:39:46	159
2024-10-12 11:39:47	157
2024-10-12 11:39:48	158
2024-10-12 11:39:49	158
2024-10-12 11:39:50	158
2024-10-12 11:39:51	158
2024-10-12 11:39:52	158
2024-10-12 11:39:53	158
2024-10-12 11:39:54	158
2024-10-12 11:39:55	159
2024-10-12 11:39:56	159
2024-10-12 11:39:57	159
2024-10-12 11:39:58	159
2024-10-12 11:39:59	159
2024-10-12 11:40:00	160
2024-10-12 11:40:01	160
2024-10-12 11:40:02	161
2024-10-12 11:40:03	161
2024-10-12 11:40:04	161
2024-10-12 11:40:05	160
2024-10-12 11:40:06	159
2024-10-12 11:40:07	158
2024-10-12 11:40:08	158
2024-10-12 11:40:09	158
2024-10-12 11:40:10	158
2024-10-12 11:40:11	159
2024-10-12 11:40:12	159
2024-10-12 11:40:13	159
2024-10-12 11:40:14	159
2024-10-12 11:40:15	159
2024-10-12 11:40:16	159
2024-10-12 11:40:17	159
2024-10-12 11:40:18	160
2024-10-12 11:40:19	160
2024-10-12 11:40:20	161
2024-10-12 11:40:21	161
2024-10-12 11:40:22	161
2024-10-12 11:40:23	161
2024-10-12 11:40:24	161
2024-10-12 11:40:25	160
2024-10-12 11:40:26	160
2024-10-12 11:40:27	159
2024-10-12 11:40:28	159
2024-10-12 11:40:29	159
2024-10-12 11:40:30	160
2024-10-12 11:40:31	160
2024-10-12 11:40:32	161
2024-10-12 11:40:33	162
